,Pelabuhan,Bobot,Tujuan Pelabuhan
A1,Tanjung Priok,7,Waemulang
A2,Tanjung Perak,1,Saumlaki
A3,Makassar,1,Saumlaki
A4,Namlea,9,Dawera/Dawelor
A5,Namrole,5,P.Geser
A6,Moa,8,Tam
A7,Saumlaki,4,Nila
A8,Kisar,7,Adault/Lingat
A9,Dobo,1,Tual
A10,Ambon,2,P.Manawoka
A11,Tual,1,Kaisui
A12,Banda Neira,1,Kelimuri
A13,Ambalau,1,Amahai
A14,Wamsisi,5,Kelimoi
A15,Leksula,8,Mangur
A16,Tifu,1,Eray
A17,Waemulang,7,Fogi
A18,Fogi,6,Holat
A19,Manipa,2,Kaimer
A20,Kelang,4,P.Geser
A21,Buano,9,Makassar
A22,Taniwel,1,Saumlaki
A23,Wahai,6,Namlea
A24,Kobisadar,3,Jerol
A25,Bula,1,P.Geser
A26,Kelimoi,9,Namrole
A27,P.Geser,5,Benjina
A28,Kelimuri,1,Kaisui
A29,Werinama,6,P.Geser
A30,Amahai,2,Wulur
A31,P.Manawoka,2,Serua
A32,Gorom,7,Molu
A33,Kailakat,9,Adault/Lingat
A34,P.Kesui,4,Seira
A35,Kaisui,7,Dawera/Dawelor
A36,P.Tior,9,Dawera/Dawelor
A37,Kaimer,7,Kisar
A38,Mangur,1,Lewa/Dai
A39,Fadol,3,Lewa/Dai
A40,P.Kur,8,Lewa/Dai
A41,Toyando,4,P.Kesui
A42,Tam,2,Molu
A43,Holat,6,Kailakat
A44,Weduar,5,Elat
A45,Elat,4,Namlea
A46,Mun,9,Tifu
A47,Banda Eli,9,Tam
A48,Benjina,7,Tutukembong
A49,Tabarfane,9,Kroing
A50,Jerol,2,Weduar
A51,Meror,7,Ambon
A52,Longgar,8,Tutukembong
A53,Marlasi,4,Kelimoi
A54,Lelam Kojabi,3,Meror
A55,Larat,2,Wamsisi
A56,Sofyanin/Rumayaan,8,P.Geser
A57,Rumean,7,Waemulang
A58,Wunlah,7,Tutukembong
A59,Seira,4,Adault/Lingat
A60,Nurkat,1,Tual
A61,Molu,4,Gorom
A62,Tutukembong,8,P.Geser
A63,Adault/Lingat,1,Molu
A64,Marsela,7,P.Manawoka
A65,Tepa,9,Lewa/Dai
A66,Dawera/Dawelor,1,P.Geser
A67,Kroing,9,Ilwaki
A68,Lewa/Dai,9,P.Manawoka
A69,Serua,9,Tabarfane
A70,Nila,8,P.Leti
A71,Teon,4,Leksula
A72,Wulur,8,Manipa
A73,Bebar,8,Fogi
A74,Eray,6,Lelam Kojabi
A75,Ilwaki,6,Kelimoi
A76,Romang,2,Lelang
A77,Arwala/Sutilirang,8,Kobisadar
A78,Kisar1,6,P.Leti
A79,P.Leti,4,Manipa
A80,Lakor,5,Leksula
A81,P.Luang,6,Weduar
A82,Lelang,5,Gorom
A83,P.Geser,9,Gorom
A84,Kaisui,6,Jerol
A85,Adault/Lingat,5,Kroing
A86,Arwala/Sutilirang,7,P.Geser
A87,Dawera/Dawelor,8,Holat
